symbol,strategy,total_return_pct,sharpe_ratio,max_drawdown_pct,total_trades,win_rate_pct,profit_factor
AUDJPY,TrendFollowing,-45.439514153887814,-0.6010408869253154,-60.161841686678756,1019,39.74484789008832,0.9115527901285526
AUDJPY,MeanReversion,-29.602342192010266,-0.6361906999522704,-33.72054101108942,346,38.15028901734104,0.8384963340225495
AUDJPY,MACD,-48.71632885017739,-0.6674141893041244,-50.145371125293615,1026,39.473684210526315,0.9025578083422375
AUDJPY,RSI_Stoch,-25.727838186609418,-0.4625118461280837,-41.33440325052506,432,39.351851851851855,0.8894168757730715
AUDJPY,Momentum,-5.532748625929229,-0.30590334376604106,-10.947623910033204,42,35.714285714285715,0.795387201822151
AUDJPY,TripleScreen,-9.70204722062441,-0.29911983569881123,-13.603642241036587,126,38.88888888888889,0.8710484778554538
AUDJPY,Breakout,-10.239931087325271,-0.27798513807820024,-24.495300611129963,157,39.490445859872615,0.8852737582446026
AUDJPY,EMACross,-1.9650948687704117,0.03620437154803577,-30.281612624396352,582,41.92439862542955,0.9948548392520847
CADJPY,TrendFollowing,-11.371332392081479,-0.0469040316064259,-48.153842860788416,1037,42.044358727097396,0.9832484913975371
CADJPY,MeanReversion,-12.741058888412283,-0.22987214737192457,-19.915819674322986,312,41.02564102564102,0.9325809928707828
CADJPY,MACD,-53.24320304456502,-0.7647912248781841,-58.90455168801005,1040,39.61538461538461,0.896395245257882
CADJPY,RSI_Stoch,-39.254821072901876,-0.8718006840079365,-46.99106421022387,387,37.46770025839793,0.8265408028341096
CADJPY,Momentum,-7.47431850273943,-0.4622354878327572,-11.803914132413121,37,32.432432432432435,0.688448740609139
CADJPY,TripleScreen,-18.57820917601788,-0.6496108837869647,-20.282142114038983,122,36.0655737704918,0.7453598567025336
CADJPY,Breakout,-28.794172824763663,-0.9527981928178582,-29.903259887933746,160,34.375,0.6927885322409176
CADJPY,EMACross,8.820755761639077,0.19021348667808924,-19.84666532174929,603,43.117744610281925,1.026586269413904
EURGBP,TrendFollowing,-76.97613824615868,-1.602221075464281,-78.66806628405779,992,38.104838709677416,0.8017311239871596
EURGBP,MeanReversion,-33.46418414117432,-0.7137200014367902,-41.94717915931078,367,40.32697547683924,0.8391851497672342
EURGBP,MACD,-83.87406383671322,-1.8899087513225454,-83.99516251053676,1112,37.76978417266187,0.7733764797069638
EURGBP,RSI_Stoch,-2.6173605005757272,0.009584850014504681,-32.146213343096235,415,44.33734939759036,0.9900057061256194
EURGBP,Momentum,1.477419354838716,0.44284908099474524,0.0,1,100.0,10.0
EURGBP,TripleScreen,-41.104621263227315,-1.4842699656492258,-42.53924869926195,163,31.901840490797547,0.5896666167922853
EURGBP,Breakout,-27.653325667301676,-0.6431386688261888,-36.94344082229879,284,40.49295774647887,0.8477804875917191
EURGBP,EMACross,-73.31807907417183,-1.8225462817030758,-73.86899540135185,647,36.16692426584235,0.7286099223981939
EURAUD,TrendFollowing,-56.04488123863457,-0.8118767076885697,-59.48388623892114,1095,39.08675799086758,0.8805762474398123
EURAUD,MeanReversion,-14.169928603086191,-0.25197971980508505,-30.317499780992986,334,40.41916167664671,0.9222032474438039
EURAUD,MACD,-16.750260032263032,-0.1166884130471522,-48.3529175171949,1039,41.38594802694899,0.9679246201618273
EURAUD,RSI_Stoch,-4.464508288503599,-0.03002117256300523,-26.63364303245583,386,41.70984455958549,0.9782150129499022
EURAUD,Momentum,1.2429165711691503,0.1412708198220886,-2.9954832192409295,11,45.45454545454545,1.2015244335661441
EURAUD,TripleScreen,-22.628168478469203,-0.7578845281778642,-24.663414644321264,143,34.96503496503497,0.7359992332827192
EURAUD,Breakout,-27.2821150758917,-0.8718827552324268,-32.26255624842504,167,34.73053892215569,0.7302856930452705
EURAUD,EMACross,-28.70636691841184,-0.39865174776222334,-37.03425103156352,678,40.117994100294986,0.9246139590694827
